latitude,longitude,osm_industrial_nearby,osm_distance_km,osm_type,label
23.75903,86.40457,1,1.9281188516094505,mine,1
23.76228,86.40097,1,1.5573100766359662,mine,1
23.76207,86.40184,1,1.575859876457127,mine,1
23.76474,86.39803,1,1.3480877109006335,mine,1
23.76206,86.40077,1,1.583473750199316,mine,1
23.76455,86.40492,1,1.3280592800742002,mine,1
23.75841,86.40003,1,1.6039713200579604,industrial,1
23.76086,86.40205,1,1.71000061826686,mine,1
23.76242,86.39987,1,1.55512853568253,mine,1
23.76209,86.40462,1,1.5917844570986013,mine,1
22.04205,83.72572,0,,,0
22.04329,83.73488,0,,,0
22.04275,83.72949,0,,,0
22.04169,83.7275,0,,,0
22.0432,83.73067,0,,,0
22.04412,83.73415,0,,,0
22.03989,83.7317,0,,,0
22.04362,83.72838,0,,,0
22.04306,83.73253,0,,,0
22.03893,83.73135,0,,,0
22.04497,83.73041,0,,,0
22.04422,83.73332,0,,,0
22.04325,83.73435,0,,,0
22.04352,83.73074,0,,,0
22.03977,83.73299,0,,,0
23.77708,86.39293,1,0.9511999896159108,mine,1
23.77815,86.38842,1,1.421491818831195,mine,1
23.77836,86.39333,1,0.9361081383277213,mine,1
23.77853,86.39171,1,1.1006398903391243,mine,1
23.78266,86.39339,1,1.1487191417246003,mine,1
23.77702,86.3943,1,0.8118445346957402,mine,1
23.77919,86.39429,1,0.8723167524320045,mine,1
23.78173,86.39101,1,1.294991284904671,mine,1
23.77872,86.39273,1,1.005551952779525,mine,1
23.78356,86.39471,1,1.117516531970056,mine,1
23.77934,86.39149,1,1.1462426588161436,mine,1
23.77793,86.3889,1,1.3696436977762252,mine,1
23.77911,86.3895,1,1.334384024708401,mine,1
23.78393,86.39209,1,1.3404203922931996,mine,1
23.78267,86.3939,1,1.1092579721797313,mine,1
23.77815,86.39405,1,0.8593334182828251,mine,1
23.78106,86.38981,1,1.3730782425497658,mine,1
23.78082,86.38921,1,1.4196878026146047,mine,1
23.77874,86.38983,1,1.2923282805120182,mine,1
23.77926,86.38911,1,1.3769233151334728,mine,1
23.77885,86.38929,1,1.3486210258168536,mine,1
23.16545,82.3359,0,,,0
23.16542,82.3362,0,,,0
23.16922,82.34162,0,,,0
23.16534,82.33843,0,,,0
23.1686,82.3439,0,,,0
23.16625,82.33669,0,,,0
23.16657,82.33804,0,,,0
23.16971,82.34402,0,,,0
23.16532,82.33581,0,,,0
23.16637,82.33716,0,,,0
23.16693,82.33791,0,,,0
23.16746,82.34389,0,,,0
23.16776,82.33535,0,,,0
23.16728,82.34447,0,,,0
23.16603,82.33599,0,,,0
23.16537,82.33795,0,,,0
23.16575,82.34031,0,,,0
21.91902,83.35298,1,1.0836270269971506,industrial,1
21.92463,83.35271,1,0.594834004017521,industrial,1
21.92338,83.35143,1,0.590219353240546,industrial,1
21.92101,83.34735,1,0.5611029026821153,plant,1
21.92151,83.34943,1,0.6404734736522717,plant,1
21.91938,83.35204,1,0.9986202896067161,plant,1
21.92166,83.35238,1,0.8020080733442635,industrial,1
21.92188,83.35149,1,0.7313009224439372,industrial,1
21.92095,83.35117,1,0.8074052011439968,industrial,1
21.91995,83.35222,1,0.9553036324959459,industrial,1
21.92491,83.35139,1,0.4660167808325988,industrial,1
21.92472,83.3511,1,0.45726126526957517,industrial,1
21.91994,83.35021,1,0.8233972700155995,plant,1
21.92373,83.35204,1,0.6034529544229184,industrial,1
23.77573,86.20653,1,2.0138937145051097,industrial,1
23.7848,86.20837,1,1.6557455553580138,industrial,1
