latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,persistence_count
14.00555,76.77794,367.0,0.38,0.44,2025-03-14,829,N,VIIRS,h,2,318.05,5.79,D,0,2
18.77048,74.8774,367.0,0.59,0.53,2025-02-02,741,N,VIIRS,h,2,308.36,35.26,D,0,2
24.28559,74.60532,310.12,0.42,0.37,2025-03-26,2034,N,VIIRS,n,2,292.48,0.64,N,0,1
23.77743,86.34464,304.98,0.55,0.43,2025-03-27,2015,N,VIIRS,n,2,294.34,0.92,N,2,87
18.33942,80.36862,340.6,0.4,0.37,2025-03-27,746,N,VIIRS,l,2,313.09,3.94,D,0,2
11.05216,77.86961,307.79,0.39,0.44,2025-02-24,2001,N,VIIRS,n,2,292.63,0.59,N,0,1
19.73484,84.28974,305.77,0.42,0.38,2025-03-07,1951,N,VIIRS,n,2,294.15,1.46,N,0,1
17.70364,80.37015,351.13,0.4,0.37,2025-03-05,759,N,VIIRS,n,2,314.24,6.79,D,0,1
21.1821,81.3811,316.01,0.39,0.36,2025-01-01,2010,N,VIIRS,n,2,289.36,1.08,N,2,46
23.96614,91.47044,346.3,0.38,0.36,2025-03-24,703,N,VIIRS,n,2,306.02,5.23,D,0,1
18.80397,83.20576,336.08,0.45,0.39,2025-03-16,752,N,VIIRS,l,2,308.01,2.91,D,0,3
23.7926,86.35436,301.91,0.32,0.55,2025-01-25,1919,N,VIIRS,n,2,289.18,1.03,N,2,95
22.04739,83.73296,300.74,0.43,0.46,2025-03-05,2028,N,VIIRS,n,2,289.57,8.09,N,2,87
18.3267,78.01582,334.61,0.48,0.4,2025-02-23,747,N,VIIRS,n,2,307.01,3.66,D,0,2
21.34043,70.02122,347.32,0.46,0.39,2025-03-08,844,N,VIIRS,n,2,316.9,5.24,D,0,3
22.21235,84.86524,304.37,0.39,0.44,2025-02-25,1938,N,VIIRS,n,2,292.61,0.86,N,2,123
26.97251,92.71777,332.91,0.55,0.43,2025-03-18,717,N,VIIRS,n,2,301.12,5.42,D,0,1
15.33275,76.24786,318.88,0.4,0.37,2025-03-16,2024,N,VIIRS,n,2,295.94,1.59,N,2,12
21.0725,83.54092,335.87,0.51,0.41,2025-01-27,754,N,VIIRS,n,2,305.72,4.63,D,0,2
22.55075,81.39335,300.42,0.53,0.5,2025-03-18,1944,N,VIIRS,n,2,287.65,0.75,N,0,1
