latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,persistence_count,land_cover_class,land_cover_name,label
20.78723,85.26219,338.88,0.48,0.4,2025-02-14,716,N,VIIRS,l,2,310.53,6.03,D,2,248,,Unknown,1
22.37819,87.27722,333.38,0.41,0.37,2025-01-23,729,N,VIIRS,l,2,304.45,5.49,D,2,279,,Unknown,1
18.06499,74.81497,335.51,0.52,0.41,2025-01-25,831,N,VIIRS,n,2,308.03,3.39,D,0,1,40.0,Cropland,0
23.56143,82.58011,341.55,0.46,0.64,2025-03-25,825,N,VIIRS,n,2,306.15,3.82,D,0,2,10.0,Tree cover,0
21.47396,81.25091,331.17,0.39,0.36,2025-01-01,741,N,VIIRS,n,2,304.43,1.55,D,0,1,40.0,Cropland,0
19.17397,73.35892,342.17,0.58,0.52,2025-02-23,747,N,VIIRS,n,2,310.52,12.22,D,0,2,10.0,Tree cover,0
15.3474,77.85108,347.54,0.36,0.57,2025-02-08,727,N,VIIRS,n,2,306.87,4.24,D,0,2,20.0,Shrubland,0
21.5139,82.11795,347.97,0.44,0.38,2025-01-27,754,N,VIIRS,n,2,311.34,8.19,D,0,1,40.0,Cropland,0
21.17947,81.3855,303.79,0.5,0.49,2025-02-27,2041,N,VIIRS,n,2,293.41,2.33,N,3,71,50.0,Built-up,1
23.82953,84.93353,345.22,0.4,0.37,2025-02-19,723,N,VIIRS,n,2,308.13,5.31,D,2,162,,Unknown,1
19.10197,73.05398,323.15,0.4,0.45,2025-03-19,2107,N,VIIRS,n,2,292.13,3.17,N,2,121,50.0,Built-up,1
23.17577,82.15755,348.38,0.45,0.39,2025-03-12,729,N,VIIRS,n,2,313.41,7.41,D,0,1,30.0,Grassland,0
21.82109,83.60572,337.95,0.41,0.37,2025-03-12,728,N,VIIRS,l,2,311.95,5.62,D,0,1,40.0,Cropland,0
13.25999,79.53958,337.03,0.34,0.56,2025-03-29,1940,N,VIIRS,n,2,295.22,4.66,N,0,2,10.0,Tree cover,0
20.9792,85.13731,349.06,0.42,0.38,2025-03-06,741,N,VIIRS,n,2,315.44,8.9,D,2,216,,Unknown,1
15.1968,78.87188,339.98,0.42,0.45,2025-03-25,823,N,VIIRS,n,2,307.89,3.12,D,0,1,20.0,Shrubland,0
21.39763,82.02108,343.77,0.37,0.58,2025-01-19,704,N,VIIRS,n,2,308.26,4.16,D,0,2,40.0,Cropland,0
15.17792,76.67551,314.95,0.42,0.38,2025-01-06,2018,N,VIIRS,n,2,294.17,2.43,N,2,116,50.0,Built-up,1
23.16679,82.33273,321.63,0.59,0.7,2025-03-14,1919,N,VIIRS,n,2,294.58,8.07,N,2,64,50.0,Built-up,1
17.6932,75.74722,334.64,0.53,0.42,2025-01-11,753,N,VIIRS,n,2,299.47,4.75,D,0,1,40.0,Cropland,0
21.92491,83.35139,308.28,0.39,0.36,2025-02-02,2010,N,VIIRS,n,2,294.5,3.61,N,2,390,50.0,Built-up,1
21.92101,83.34735,304.54,0.39,0.36,2025-01-01,2010,N,VIIRS,n,2,289.3,2.34,N,2,390,50.0,Built-up,1
21.31171,81.59029,302.6,0.51,0.41,2025-02-17,2029,N,VIIRS,n,2,291.41,0.95,N,2,68,50.0,Built-up,1
21.98788,82.01787,299.22,0.53,0.5,2025-02-27,2041,N,VIIRS,n,2,289.08,0.39,N,0,16,50.0,Built-up,1
17.29968,77.43379,308.35,0.4,0.6,2025-02-14,1946,N,VIIRS,n,2,289.69,8.94,N,0,1,20.0,Shrubland,0
18.03799,73.46568,346.52,0.48,0.4,2025-03-10,805,N,VIIRS,n,2,314.91,14.93,D,0,1,30.0,Grassland,0
22.03989,83.7317,339.81,0.45,0.47,2025-02-09,1939,N,VIIRS,n,2,291.0,5.62,N,2,440,30.0,Grassland,1
21.18089,81.38439,303.59,0.49,0.4,2025-01-07,1958,N,VIIRS,n,2,290.45,1.43,N,3,46,50.0,Built-up,1
11.81539,77.91668,309.36,0.36,0.57,2025-01-04,2057,N,VIIRS,n,2,290.87,1.4,N,2,45,50.0,Built-up,1
22.7262,81.99769,346.41,0.42,0.45,2025-03-26,806,N,VIIRS,l,2,316.89,8.72,D,0,1,30.0,Grassland,0
17.13955,77.18411,301.52,0.43,0.38,2025-01-21,2037,N,VIIRS,n,2,291.32,1.06,N,2,29,50.0,Built-up,1
23.42034,82.28455,310.44,0.43,0.38,2025-03-16,2022,N,VIIRS,n,2,291.1,1.06,N,0,1,10.0,Tree cover,0
22.04362,83.72838,305.18,0.4,0.37,2025-01-17,2010,N,VIIRS,n,2,287.45,6.38,N,2,440,30.0,Grassland,1
21.91994,83.35021,336.42,0.39,0.36,2025-01-01,741,N,VIIRS,l,2,309.11,2.9,D,2,390,50.0,Built-up,1
22.04438,83.73584,336.5,0.54,0.68,2025-03-09,825,N,VIIRS,n,2,304.6,8.74,D,2,243,60.0,Bare/sparse vegetation,1
23.51073,81.49717,307.0,0.34,0.56,2025-03-29,1937,N,VIIRS,n,2,294.08,0.59,N,0,1,10.0,Tree cover,0
23.68381,86.39454,342.57,0.53,0.5,2025-02-12,754,N,VIIRS,n,2,311.86,10.07,D,2,251,,Unknown,1
15.29643,75.69892,343.39,0.49,0.49,2025-03-11,746,N,VIIRS,n,2,312.55,4.22,D,0,1,20.0,Shrubland,0
18.93058,73.78484,367.0,0.47,0.64,2025-03-07,902,N,VIIRS,h,2,316.2,26.77,D,0,2,40.0,Cropland,0
16.21599,75.80215,337.07,0.47,0.64,2025-02-24,727,N,VIIRS,n,2,310.95,1.71,D,0,1,40.0,Cropland,0
15.17003,76.37917,306.47,0.35,0.57,2025-02-19,1953,N,VIIRS,n,2,292.24,1.29,N,2,115,50.0,Built-up,1
23.16637,82.33716,353.67,0.34,0.56,2025-03-08,704,N,VIIRS,n,2,311.2,5.11,D,2,394,30.0,Grassland,1
20.96893,86.01279,342.5,0.37,0.58,2025-01-05,806,N,VIIRS,n,2,301.47,7.4,D,2,190,,Unknown,1
25.13017,93.86598,339.07,0.39,0.36,2025-01-14,658,N,VIIRS,n,2,296.73,9.75,D,0,42,,Unknown,1
14.23132,78.61565,345.56,0.42,0.61,2025-02-04,842,N,VIIRS,n,2,307.87,3.57,D,0,1,40.0,Cropland,0
15.17706,76.65528,317.91,0.41,0.45,2025-01-12,2006,N,VIIRS,n,2,293.81,1.78,N,2,187,50.0,Built-up,1
17.66505,76.36868,347.92,0.42,0.38,2025-02-17,759,N,VIIRS,n,2,314.4,4.6,D,0,1,40.0,Cropland,0
21.19108,81.38978,304.66,0.63,0.72,2025-02-15,2107,N,VIIRS,n,2,292.18,2.45,N,2,109,50.0,Built-up,1
23.37671,83.61605,307.14,0.39,0.36,2025-03-17,2003,N,VIIRS,n,2,288.53,1.29,N,0,1,30.0,Grassland,0
22.04352,83.73074,337.81,0.55,0.43,2025-02-14,1945,N,VIIRS,n,2,294.79,5.64,N,2,440,60.0,Bare/sparse vegetation,1
21.95759,82.24854,336.33,0.4,0.37,2025-01-22,748,N,VIIRS,l,2,308.54,6.58,D,0,2,40.0,Cropland,0
18.05358,73.7551,307.79,0.61,0.53,2025-02-04,2114,N,VIIRS,n,2,288.52,1.45,N,0,2,30.0,Grassland,0
23.57788,83.34104,338.52,0.47,0.47,2025-03-29,710,N,VIIRS,l,2,309.17,5.19,D,0,1,10.0,Tree cover,0
21.18358,81.3877,312.34,0.39,0.36,2025-02-02,2010,N,VIIRS,n,2,297.15,1.02,N,3,71,50.0,Built-up,1
22.04497,83.73041,349.06,0.38,0.36,2025-02-13,735,N,VIIRS,n,2,316.98,7.79,D,2,440,60.0,Bare/sparse vegetation,1
23.67964,86.09494,343.18,0.41,0.45,2025-01-06,748,N,VIIRS,n,2,296.79,5.99,D,2,228,,Unknown,1
